year,round,draw_date,1st_winners,1st_prize,2nd_winners,2nd_prize,3rd_winners,3rd_prize,4th_winners,4th_prize,5th_winners,5th_prize,num1,num2,num3,num4,num5,num6,bonus
2025,1187,2025.08.30,11,"2,619,380,012원",79,"60,787,300원","3,147","1,525,961원","152,448","50,000원","2,557,090","5,000원",5,13,26,29,37,40,42
2025,1186,2025.08.23,14,"1,985,676,911원",89,"52,058,946원","3,226","1,436,221원","162,707","50,000원","2,628,810","5,000원",2,8,13,16,23,28,35
2025,1185,2025.08.16,12,"2,388,695,125원",79,"60,473,295원","2,903","1,645,674원","153,798","50,000원","2,566,276","5,000원",6,17,22,28,29,32,38
2025,1184,2025.08.09,15,"1,910,655,600원",95,"50,280,411원","3,115","1,533,432원","155,556","50,000원","2,576,710","5,000원",14,16,23,25,31,37,42
2025,1183,2025.08.02,13,"2,073,966,000원",92,"48,843,403원","3,623","1,240,297원","169,030","50,000원","2,680,548","5,000원",4,15,17,23,27,36,31
2025,1182,2025.07.26,13,"2,124,785,424원",79,"58,274,706원","3,015","1,526,933원","156,025","50,000원","2,616,958","5,000원",1,13,21,25,28,31,22
2025,1181,2025.07.19,17,"1,593,643,500원",86,"52,503,759원","3,109","1,452,340원","155,938","50,000원","2,596,371","5,000원",8,10,14,20,33,41,28
2025,1180,2025.07.12,11,"2,535,566,421원",72,"64,563,034원","3,010","1,544,365원","153,274","50,000원","2,567,395","5,000원",6,12,18,37,40,41,3
2025,1179,2025.07.05,13,"2,162,821,097원",63,"74,382,737원","2,989","1,567,787원","148,832","50,000원","2,516,368","5,000원",3,16,18,24,40,44,21
2025,1178,2025.06.28,12,"2,391,608,407원",89,"53,744,010원","3,061","1,562,633원","157,044","50,000원","2,653,841","5,000원",5,6,11,27,43,44,17
2025,1177,2025.06.21,6,"4,576,672,000원",75,"61,022,294원","3,111","1,471,126원","157,438","50,000원","2,644,128","5,000원",3,7,15,16,19,43,21
2025,1176,2025.06.14,13,"2,052,166,154원",89,"49,959,102원","3,533","1,258,523원","171,545","50,000원","2,746,919","5,000원",7,9,11,21,30,35,29
2025,1175,2025.06.07,20,"1,384,026,094원",92,"50,145,873원","3,178","1,451,675원","164,364","50,000원","2,723,718","5,000원",3,4,6,8,32,42,31
2025,1174,2025.05.31,15,"1,910,619,425원",85,"56,194,689원","3,196","1,494,540원","158,944","50,000원","2,670,129","5,000원",8,11,14,17,36,39,22
2025,1173,2025.05.24,24,"1,179,946,063원",94,"50,210,471원","3,139","1,503,595원","163,678","50,000원","2,689,832","5,000원",1,5,18,20,30,35,3
2025,1172,2025.05.17,13,"2,203,004,452원",98,"48,705,881원","3,059","1,560,372원","152,897","50,000원","2,590,472","5,000원",7,9,24,40,42,44,45
2025,1171,2025.05.10,21,"1,128,345,286원",148,"26,683,842원","5,317","742,752원","211,503","50,000원","3,094,806","5,000원",3,6,7,11,12,17,19
2025,1170,2025.05.03,20,"1,386,550,969원",103,"44,872,200원","5,668","815,427원","163,866","50,000원","2,637,401","5,000원",3,13,28,34,38,42,25
2025,1169,2025.04.26,10,"2,852,735,813원",112,"42,451,426원","3,244","1,465,648원","160,483","50,000원","2,668,194","5,000원",5,12,24,26,39,42,20
2025,1168,2025.04.19,13,"2,136,635,914원",74,"62,559,160원","3,514","1,317,410원","166,163","50,000원","2,712,545","5,000원",9,21,24,30,33,37,29
2025,1167,2025.04.12,10,"2,884,087,913원",69,"69,663,960원","2,942","1,633,859원","157,094","50,000원","2,614,372","5,000원",8,23,31,35,39,40,24
2025,1166,2025.04.05,14,"2,072,319,938원",80,"60,442,665원","2,803","1,725,085원","147,837","50,000원","2,456,735","5,000원",14,23,25,27,29,42,16
2025,1165,2025.03.29,13,"2,192,485,270원",91,"52,202,031원","3,173","1,497,128원","158,014","50,000원","2,630,455","5,000원",6,7,27,29,38,45,17
2025,1164,2025.03.22,13,"2,193,092,164원",76,"62,522,365원","3,470","1,369,366원","170,045","50,000원","2,807,095","5,000원",17,18,23,25,38,39,22
